ASN URI,URL Now,New Dot Notation,New URI,New GUID
http://asn.jesandco.org/resources/S2366906,,CCSS.Math.Practice.MP1,http://corestandards.org/Math/Practice/MP1,FBCBB7C696FE475695920CA622B1C854
http://asn.jesandco.org/resources/S2366907,,CCSS.Math.Practice.MP2,http://corestandards.org/Math/Practice/MP2,FBCBB7C696FE475695920CA622B1C855
http://asn.jesandco.org/resources/S2366908,,CCSS.Math.Practice.MP3,http://corestandards.org/Math/Practice/MP3,FBCBB7C696FE475695920CA622B1C856
http://asn.jesandco.org/resources/S2366909,,CCSS.Math.Practice.MP4,http://corestandards.org/Math/Practice/MP4,FBCBB7C696FE475695920CA622B1C857
http://asn.jesandco.org/resources/S2366910,,CCSS.Math.Practice.MP5,http://corestandards.org/Math/Practice/MP5,FBCBB7C696FE475695920CA622B1C858
http://asn.jesandco.org/resources/S2366911,,CCSS.Math.Practice.MP6,http://corestandards.org/Math/Practice/MP6,FBCBB7C696FE475695920CA622B1C859
http://asn.jesandco.org/resources/S2366912,,CCSS.Math.Practice.MP7,http://corestandards.org/Math/Practice/MP7,FBCBB7C696FE475695920CA622B1C85A
http://asn.jesandco.org/resources/S2366913,,CCSS.Math.Practice.MP8,http://corestandards.org/Math/Practice/MP8,FBCBB7C696FE475695920CA622B1C85B
http://asn.jesandco.org/resources/S1143409,,CCSS.Math.Content.CC,http://corestandards.org/Math/Content/CC,6929E003BDF44134B147F1905740952B
http://asn.jesandco.org/resources/S114340A,,CCSS.Math.Content.OA,http://corestandards.org/Math/Content/OA,F48AF8DFB7CE49DF90C94BA7481902FE
http://asn.jesandco.org/resources/S114340B,,CCSS.Math.Content.NBT,http://corestandards.org/Math/Content/NBT,210D7565763843CABAE08DBC543A6D6E
http://asn.jesandco.org/resources/S1143472,,CCSS.Math.Content.NF,http://corestandards.org/Math/Content/NF,7828D239696340EE84D21AC2264CDCFD
http://asn.jesandco.org/resources/S114340C,,CCSS.Math.Content.MD,http://corestandards.org/Math/Content/MD,37182C1EE5D3416284CA5D5908E3E812
http://asn.jesandco.org/resources/S114340D,,CCSS.Math.Content.G,http://corestandards.org/Math/Content/G,B43FE7DADD404270830AC24F30C5C36E
http://asn.jesandco.org/resources/S11434C0,,CCSS.Math.Content.RP,http://corestandards.org/Math/Content/RP,11B33C5A4F7445ECB29676DE9C2D9D42
http://asn.jesandco.org/resources/S11434C2,,CCSS.Math.Content.NS,http://corestandards.org/Math/Content/NS,013AAEA07628418A9E12ADF1DE79A7E2
http://asn.jesandco.org/resources/S11434C6,,CCSS.Math.Content.EE,http://corestandards.org/Math/Content/EE,EED81C3776F94D3EA1BBA15E5F2F805C
http://asn.jesandco.org/resources/S1143526,,CCSS.Math.Content.F,http://corestandards.org/Math/Content/F,E3916CADF41845CFBA09C80773267E11
http://asn.jesandco.org/resources/S11434CB,,CCSS.Math.Content.SP,http://corestandards.org/Math/Content/SP,E2FCB3E328684CDA8CFA842DA6A15331
,,CCSS.Math.Content.K,http://corestandards.org/Math/Content/K,FACBB7C696FE475695920CA622B1C855
http://asn.jesandco.org/resources/S1143409,,CCSS.Math.Content.K.CC,http://corestandards.org/Math/Content/K/CC,4F592A71A52F4E809829F27653934D9A
http://asn.jesandco.org/resources/S114340E,,CCSS.Math.Content.K.CC.A,http://corestandards.org/Math/Content/K/CC/A,4F4106218F834258BCDDB7EB39806880
http://asn.jesandco.org/resources/S1143417,http://wwwcorestandards.org/the-standards/mathematics/Kindergarten/counting-and-cardinality/#k-cc-1,CCSS.Math.Content.K.CC.A.1,http://corestandards.org/Math/Content/K/CC/A/1,CA9EE2E34F384E95A5FA26769C5864B8
http://asn.jesandco.org/resources/S1143418,http://wwwcorestandards.org/the-standards/mathematics/Kindergarten/counting-and-cardinality/#k-cc-2,CCSS.Math.Content.K.CC.A.2,http://corestandards.org/Math/Content/K/CC/A/2,5E6A3E3B939B4577B104FA8658206E9E
